student_id,gender,department,attendance,internal_marks,assignment_score,previous_cgpa,backlogs,study_hours,at_risk
S00059,Female,IT,58,47,36,6.51,3,2.1,1
S00060,Male,IT,89,81,89,9.12,0,5.4,0
S00061,Female,IT,89,76,97,8.88,1,6.6,0
S00062,Female,Computer,99,56,80,8.57,0,3.4,0
S00063,Female,Computer,76,58,71,7.83,0,5.3,0
S00064,Female,IT,91,71,60,8.15,0,8.0,0
S00065,Female,Computer,67,56,70,7.2,0,6.1,0
S00066,Male,Computer,72,91,68,8.13,0,6.8,0
S00067,Male,AI,72,65,74,6.88,0,7.6,0
S00068,Female,IT,77,59,92,8.92,0,3.5,0
S00069,Female,AI,72,91,57,7.72,1,6.3,0
S00070,Male,AI,65,81,86,6.87,0,6.2,0
S00071,Female,AI,50,58,68,6.73,2,2.8,1
S00072,Female,IT,82,75,70,9.41,0,4.4,0
S00073,Female,Computer,89,76,56,8.23,0,3.9,0
S00074,Male,IT,86,72,93,8.95,0,5.8,0
S00075,Male,Computer,91,86,90,9.15,1,6.2,0
S00076,Female,IT,70,73,69,7.92,0,4.5,0
S00077,Female,IT,87,82,90,7.66,1,4.4,0
S00078,Female,Computer,51,45,42,6.29,3,1.6,1
S00079,Male,AI,98,93,73,9.93,0,4.5,0
S00080,Female,Computer,99,63,72,6.66,0,5.8,0
S00081,Male,AI,96,61,55,8.51,1,5.4,0
S00082,Female,Computer,81,85,62,9.38,1,5.5,0
S00083,Male,Computer,63,65,54,4.97,1,1.4,1
S00084,Female,AI,79,88,79,8.08,1,4.5,0
S00085,Female,IT,68,94,61,9.82,0,6.1,0
S00086,Female,AI,52,40,70,4.95,1,2.2,1
S00087,Female,IT,54,57,53,6.21,2,1.2,1
S00088,Male,IT,77,82,62,8.41,0,7.5,0
S00089,Male,Computer,70,44,53,5.68,2,3.1,1
S00090,Female,IT,96,83,60,8.59,1,6.7,0
S00091,Female,Computer,66,61,36,6.8,3,3.5,1
S00092,Male,Computer,93,72,66,9.99,1,6.2,0
S00093,Female,Computer,91,76,75,8.85,0,4.6,0
S00094,Female,IT,90,90,57,8.09,0,4.3,0
S00095,Male,IT,65,97,89,8.12,0,3.9,0
S00096,Female,AI,93,58,68,7.43,0,7.6,0
S00097,Female,AI,66,95,93,9.3,0,4.6,0
S00098,Male,AI,79,62,84,9.81,0,5.5,0
S00099,Female,AI,91,85,85,7.35,0,4.9,0
S00100,Male,Computer,91,76,87,7.44,0,4.4,0
S00101,Female,AI,96,64,83,8.39,0,4.7,0
S00102,Female,IT,77,99,70,8.5,0,7.3,0
S00103,Female,Computer,95,100,79,7.85,0,5.5,0
S00104,Male,Computer,86,61,83,6.85,1,3.1,0
S00105,Male,IT,74,59,85,9.24,0,4.7,0
S00106,Female,AI,55,62,69,5.56,2,2.9,1
S00107,Female,AI,47,42,53,6.79,3,1.3,1
S00108,Male,AI,71,83,65,8.93,0,3.2,0
S00109,Male,IT,92,64,70,8.36,0,3.8,0
S00110,Male,AI,80,86,92,7.0,1,6.2,0
S00111,Female,IT,94,73,98,8.41,0,5.2,0
S00112,Female,AI,92,99,71,8.1,0,4.0,0
S00113,Female,IT,57,53,57,5.95,3,1.9,1
S00114,Female,IT,66,59,38,6.62,3,2.5,1
S00115,Female,Computer,87,69,95,7.17,0,6.4,0
S00116,Male,AI,65,55,37,5.42,2,1.1,1
S00117,Female,AI,54,45,61,5.15,1,3.4,1
S00118,Female,AI,82,65,71,9.7,1,7.8,0
S00119,Female,AI,72,84,59,6.99,0,7.3,0
S00120,Female,AI,90,55,71,8.38,1,4.8,0
S00121,Female,AI,88,61,98,7.32,0,6.1,0
S00122,Female,AI,69,95,84,9.68,0,6.2,0
S00123,Male,Computer,46,44,66,5.03,1,3.7,1
S00124,Male,IT,99,81,92,9.1,0,7.4,0
S00125,Male,IT,82,57,99,7.8,1,5.2,0
S00126,Male,IT,66,46,69,6.6,3,2.1,1
S00127,Female,IT,48,65,64,4.98,1,2.9,1
S00128,Male,Computer,80,63,91,7.22,0,5.9,0
S00129,Male,IT,65,72,64,9.96,0,7.0,0
S00130,Male,AI,73,55,77,9.26,0,5.9,0
S00131,Male,Computer,73,81,88,6.9,0,5.4,0
S00132,Female,AI,93,87,69,9.81,0,6.6,0
S00133,Female,IT,66,58,85,9.47,1,6.4,0
S00134,Female,AI,69,60,75,8.63,0,3.6,0
S00135,Female,IT,98,73,84,8.27,1,3.5,0
S00136,Male,AI,100,68,82,8.08,0,5.1,0
S00137,Female,IT,71,75,82,7.59,0,4.9,0
S00138,Male,AI,69,60,60,6.83,0,6.7,0
S00139,Female,Computer,100,90,76,8.85,1,4.8,0
S00140,Female,AI,54,54,54,5.5,3,2.5,1
S00141,Male,AI,71,77,90,7.79,0,5.9,0
S00142,Female,AI,100,56,93,9.75,0,3.1,0
S00143,Female,AI,86,77,55,7.13,0,5.8,0
S00144,Female,Computer,65,35,40,6.29,1,2.1,1
S00145,Female,IT,54,58,55,6.35,3,2.8,1
S00146,Male,Computer,64,36,40,5.34,3,2.3,1
S00147,Female,IT,97,62,77,8.0,0,6.4,0
S00148,Female,AI,67,69,80,9.95,0,3.0,0
S00149,Female,Computer,81,73,75,6.92,1,6.7,0
S00150,Male,Computer,79,87,90,9.42,0,3.4,0
S00151,Male,IT,47,62,55,5.95,3,2.2,1
S00152,Female,IT,45,65,55,5.14,3,2.4,1
S00153,Female,Computer,71,70,82,8.56,0,5.0,0
S00154,Female,AI,86,65,59,8.29,0,5.7,0
S00155,Male,IT,74,70,61,7.01,0,3.9,0
S00156,Male,AI,69,55,66,5.73,3,3.3,1
S00157,Female,AI,85,95,75,7.03,0,5.3,0
S00158,Female,IT,87,87,59,7.59,1,3.2,0
S00159,Female,IT,47,54,67,5.57,3,2.7,1
S00160,Male,IT,77,75,93,8.16,0,7.8,0
S00161,Female,Computer,86,100,60,8.27,0,3.2,0
S00162,Female,IT,75,78,78,9.71,1,5.0,0
S00163,Female,AI,86,59,76,6.83,1,4.4,0
S00164,Male,IT,66,39,57,5.42,3,3.1,1
S00165,Female,Computer,70,74,90,7.82,0,7.1,0
S00166,Male,AI,97,78,56,7.77,0,7.8,0
S00167,Female,IT,49,39,39,5.39,1,2.5,1
S00168,Male,AI,73,93,79,7.04,0,7.2,0
S00169,Male,AI,91,78,98,9.02,1,6.1,0
S00170,Female,Computer,84,85,67,7.79,1,5.3,0
S00171,Female,IT,91,65,67,9.3,0,7.4,0
S00172,Male,AI,88,90,61,8.99,0,4.4,0
S00173,Male,IT,97,64,82,6.82,0,7.1,0
S00174,Female,Computer,90,87,78,7.33,0,4.9,0
S00175,Male,IT,86,64,63,6.63,1,6.5,0
S00176,Male,AI,65,60,56,7.4,0,5.7,0
S00177,Female,Computer,80,74,62,6.67,1,6.2,0
S00178,Female,Computer,60,54,69,4.83,3,2.7,1
S00179,Male,IT,87,70,91,7.96,0,5.6,0
S00180,Female,Computer,99,87,87,8.44,1,7.4,0
S00181,Male,AI,88,71,56,7.75,0,4.7,0
S00182,Male,AI,86,63,57,7.73,0,7.1,0
S00183,Male,AI,95,95,66,9.34,0,6.6,0
S00184,Female,Computer,67,67,57,7.6,0,5.6,0
S00185,Female,IT,65,41,53,5.51,1,3.6,1
S00186,Female,IT,56,48,60,6.29,2,2.0,1
S00187,Male,IT,88,88,72,9.3,1,3.4,0
S00188,Male,AI,71,60,75,8.81,0,5.2,0
S00189,Female,Computer,87,83,57,9.04,0,6.1,0
S00190,Female,IT,68,59,97,8.73,0,5.6,0
S00191,Male,Computer,64,56,63,4.87,1,1.7,1
S00192,Female,IT,67,93,64,8.88,0,4.9,0
S00193,Male,AI,56,47,55,6.1,1,3.9,1
S00194,Male,AI,61,47,70,5.04,2,3.1,1
S00195,Male,AI,96,67,62,6.98,0,5.3,0
S00196,Female,Computer,85,97,77,8.98,0,7.5,0
S00197,Male,AI,76,78,87,7.28,0,7.0,0
S00198,Male,IT,62,53,58,5.73,3,1.4,1
S00199,Male,Computer,95,88,81,9.19,0,3.6,0
S00200,Female,AI,59,56,68,5.49,3,2.9,1
S00201,Male,Computer,68,62,88,7.04,0,3.8,0
S00202,Male,IT,98,73,60,7.38,0,3.6,0
S00203,Female,AI,97,96,65,8.57,0,3.9,0
S00204,Female,AI,45,37,37,6.7,3,1.8,1
S00205,Male,AI,66,86,95,8.41,0,5.4,0
S00206,Female,IT,68,65,83,7.95,1,4.0,0
S00207,Male,IT,85,77,80,6.96,0,5.6,0
S00208,Male,IT,72,72,83,7.37,0,3.3,0
S00209,Female,AI,75,75,91,9.02,0,6.8,0
S00210,Female,AI,84,86,56,6.82,1,5.5,0
S00211,Male,Computer,68,58,73,8.23,1,4.4,0
S00212,Male,Computer,81,78,80,7.78,1,3.3,0
S00213,Male,IT,69,79,87,8.08,0,7.1,0
S00214,Male,Computer,90,78,76,8.45,0,6.8,0
S00215,Male,AI,97,57,57,6.64,0,7.0,0
S00216,Female,Computer,97,63,75,9.76,0,3.8,0
S00217,Female,AI,97,89,86,8.98,0,5.4,0
S00218,Male,IT,72,81,92,7.58,0,6.0,0
S00219,Female,AI,79,58,92,8.18,1,3.7,0
S00220,Male,Computer,72,67,56,8.04,1,3.8,0
S00221,Male,IT,95,58,100,6.98,0,5.8,0
S00222,Female,AI,76,84,89,7.7,0,6.4,0
S00223,Female,AI,80,72,90,7.54,0,6.9,0
S00224,Male,AI,85,85,77,8.46,0,4.4,0
S00225,Female,IT,74,73,57,7.51,0,4.7,0
S00226,Female,AI,95,68,67,9.4,0,7.7,0
S00227,Female,Computer,68,53,50,5.28,3,3.7,1
S00228,Male,AI,71,81,76,9.01,0,6.4,0
S00229,Male,Computer,75,81,96,9.77,1,5.4,0
S00230,Male,IT,68,60,96,8.51,0,7.6,0
S00231,Male,IT,76,57,80,9.26,0,7.7,0
S00232,Female,Computer,63,54,41,6.66,2,1.9,1
S00233,Female,Computer,94,72,67,9.33,0,3.8,0
S00234,Female,AI,76,55,76,9.27,0,3.9,0
S00235,Female,IT,70,80,97,6.83,0,5.4,0
S00236,Male,Computer,80,83,72,9.84,0,5.9,0
S00237,Male,IT,80,58,97,6.91,0,3.8,0
S00238,Female,AI,54,46,49,5.24,1,2.4,1
S00239,Female,AI,88,81,99,8.42,1,6.8,0
S00240,Male,Computer,70,88,83,8.35,0,3.4,0
S00241,Male,Computer,97,67,91,8.38,0,4.6,0
S00242,Female,Computer,96,60,87,8.06,0,5.3,0
S00243,Female,IT,100,84,98,9.32,0,5.0,0
S00244,Male,AI,69,57,82,7.71,0,5.7,0
S00245,Male,Computer,95,57,73,7.93,0,6.8,0
S00246,Female,IT,89,83,79,7.81,0,6.3,0
S00247,Female,Computer,62,47,68,5.05,1,3.5,1
S00248,Male,IT,99,82,89,7.83,0,4.2,0
S00249,Female,Computer,72,57,97,7.97,0,4.2,0
S00250,Male,Computer,93,93,98,8.96,0,4.2,0
S00251,Male,IT,99,68,58,6.99,0,4.2,0
S00252,Female,AI,85,70,74,9.57,0,5.1,0
S00253,Female,Computer,76,95,98,8.0,1,3.2,0
S00254,Female,AI,98,75,99,7.96,0,4.5,0
S00255,Male,AI,79,74,100,7.01,1,7.6,0
S00256,Female,IT,73,79,70,7.39,0,6.2,0
S00257,Female,IT,68,61,47,4.9,2,3.0,1
S00258,Male,Computer,69,53,70,5.23,1,3.6,1
S00259,Female,IT,65,68,67,9.87,0,6.7,0
S00260,Female,Computer,78,80,70,8.43,0,4.9,0
S00261,Female,IT,97,86,84,6.85,1,6.8,0
S00262,Female,Computer,91,57,91,9.52,0,3.1,0
S00263,Female,IT,55,42,59,5.94,1,2.5,1
S00264,Female,IT,96,96,86,8.11,0,3.8,0
S00265,Female,Computer,99,96,58,8.33,0,7.7,0
S00266,Male,Computer,79,59,100,7.03,0,5.5,0
S00267,Female,Computer,95,97,86,6.56,1,3.1,0
S00268,Female,AI,66,87,99,8.86,0,3.5,0
S00269,Male,AI,51,54,68,5.3,2,1.8,1
S00270,Female,Computer,90,84,91,7.35,0,4.5,0
S00271,Male,AI,67,60,80,7.83,1,3.3,0
S00272,Male,AI,60,62,62,6.09,2,2.7,1
S00273,Male,AI,79,68,99,9.61,1,4.4,0
S00274,Male,AI,99,91,97,6.62,0,3.1,0
S00275,Male,AI,67,61,60,6.66,2,1.5,1
S00276,Male,AI,89,98,89,7.66,0,7.0,0
S00277,Male,AI,87,58,61,8.03,0,4.7,0
S00278,Female,IT,53,60,63,5.78,2,2.7,1
S00279,Female,IT,63,56,59,4.97,3,1.9,1
S00280,Male,AI,53,39,59,6.22,3,1.5,1
S00281,Female,IT,70,55,74,8.06,0,3.5,0
S00282,Male,Computer,100,90,87,7.93,0,3.4,0
S00283,Male,AI,85,79,55,7.52,1,6.9,0
S00284,Male,AI,89,65,63,7.44,0,5.5,0
S00285,Male,Computer,91,74,85,9.24,0,4.3,0
S00286,Male,AI,77,84,61,6.97,0,7.7,0
S00287,Female,AI,86,83,76,8.01,0,4.5,0
S00288,Male,IT,90,75,73,9.07,1,7.8,0
S00289,Male,IT,90,78,62,9.76,0,6.0,0
S00290,Male,AI,66,84,100,7.23,0,7.2,0
S00291,Male,IT,73,95,74,7.35,0,6.6,0
S00292,Female,Computer,95,92,80,8.37,1,5.7,0
S00293,Female,AI,99,93,95,9.7,0,6.8,0
S00294,Female,Computer,67,91,96,8.87,1,7.8,0
S00295,Female,IT,48,43,49,5.82,3,2.7,1
S00296,Male,IT,94,98,92,8.92,0,4.7,0
S00297,Male,IT,58,64,40,5.03,3,1.4,1
S00298,Female,IT,78,88,85,7.72,0,5.2,0
S00299,Female,IT,46,60,42,4.85,2,2.9,1
S00300,Male,AI,76,90,65,7.66,1,7.8,0
S00301,Male,IT,76,95,97,8.01,0,6.7,0
S00302,Male,IT,89,55,100,7.25,0,6.8,0
S00303,Male,AI,62,40,58,5.45,2,1.3,1
S00304,Female,AI,85,93,79,8.64,0,4.7,0
S00305,Female,AI,66,57,54,6.64,3,1.3,1
S00306,Male,IT,54,38,46,5.55,1,2.5,1
S00307,Female,AI,57,48,46,5.77,3,3.1,1
S00308,Male,AI,54,39,46,5.43,2,2.9,1
S00309,Female,Computer,77,79,90,8.27,1,5.0,0
S00310,Female,IT,93,86,65,6.79,0,7.0,0
S00311,Male,IT,52,52,53,5.14,2,2.7,1
S00312,Female,AI,72,72,89,9.38,0,5.7,0
S00313,Male,AI,78,82,61,9.08,0,4.5,0
S00314,Male,IT,70,83,62,9.21,0,4.0,0
S00315,Female,AI,92,65,94,6.99,0,7.1,0
S00316,Male,AI,82,93,89,7.09,0,4.4,0
S00317,Female,AI,71,63,81,9.72,0,7.3,0
S00318,Male,AI,80,64,100,7.63,0,6.8,0
S00319,Female,IT,65,43,61,5.55,1,2.9,1
S00320,Male,IT,82,99,78,8.09,1,4.6,0
S00321,Male,AI,59,55,57,6.5,3,2.2,1
S00322,Female,Computer,85,73,76,8.42,0,5.8,0
S00323,Female,IT,68,57,61,8.69,1,3.1,0
S00324,Male,IT,92,67,99,9.68,0,3.8,0
S00325,Female,Computer,81,60,78,8.83,0,3.3,0
S00326,Female,AI,79,82,96,6.82,0,3.0,0
S00327,Female,Computer,52,51,63,4.82,3,2.0,1
S00328,Male,IT,95,59,69,7.84,0,3.5,0
S00329,Female,IT,69,61,43,6.08,3,1.4,1
S00330,Male,AI,93,77,68,8.7,0,7.6,0
S00331,Female,Computer,48,39,42,5.98,2,2.1,1
S00332,Female,IT,80,72,96,6.79,0,6.9,0
S00333,Male,AI,78,88,93,8.28,1,4.5,0
S00334,Male,Computer,72,70,86,8.73,0,5.6,0
S00335,Male,IT,73,79,91,7.97,0,6.8,0
S00336,Male,Computer,65,71,68,6.64,0,7.7,0
S00337,Female,AI,97,81,82,8.96,0,6.2,0
S00338,Male,IT,47,51,48,6.75,1,2.6,1
S00339,Female,AI,69,74,99,8.03,0,3.3,0
S00340,Male,IT,64,54,38,5.42,3,3.0,1
S00341,Male,Computer,49,57,35,5.13,2,2.6,1
S00342,Female,Computer,82,62,56,7.67,1,4.4,0
S00343,Male,IT,69,86,84,8.29,0,5.5,0
S00344,Male,IT,69,38,42,5.26,3,1.0,1
S00345,Male,Computer,56,47,44,5.16,1,2.7,1
S00346,Female,Computer,91,75,72,9.39,0,3.6,0
S00347,Male,Computer,98,57,80,6.74,1,7.3,0
S00348,Female,IT,59,35,58,5.2,3,3.4,1
S00349,Male,IT,96,67,89,9.16,0,3.8,0
S00350,Female,Computer,87,95,99,9.57,0,3.0,0
S00351,Female,AI,71,68,88,9.94,1,5.5,0
S00352,Male,Computer,70,57,69,9.64,1,6.5,0
S00353,Female,IT,70,92,61,8.27,1,3.4,0
S00354,Male,IT,73,70,73,7.41,0,7.6,0
S00355,Female,AI,85,75,83,7.45,0,7.7,0
S00356,Male,AI,48,40,63,5.73,2,1.4,1
S00357,Female,Computer,94,71,62,6.82,0,7.1,0
S00358,Male,Computer,85,64,60,8.99,0,5.0,0
S00359,Male,AI,76,56,80,9.49,0,3.5,0
S00360,Male,Computer,46,61,49,5.06,2,2.1,1
S00361,Male,AI,69,56,59,7.19,1,7.0,0
S00362,Male,IT,59,36,45,6.65,2,3.5,1
S00363,Female,IT,66,48,46,5.51,1,1.8,1
S00364,Female,Computer,64,54,50,6.09,2,2.2,1
S00365,Female,Computer,57,39,61,5.2,3,1.7,1
S00366,Male,IT,87,85,89,9.24,0,7.6,0
S00367,Female,IT,66,75,93,7.27,0,3.3,0
S00368,Female,AI,79,65,61,7.37,0,4.3,0
S00369,Male,Computer,89,77,66,7.12,0,7.0,0
S00370,Female,AI,67,46,44,5.93,1,3.5,1
S00371,Female,AI,96,57,60,6.7,0,3.1,0
S00372,Female,Computer,77,63,76,9.01,0,3.3,0
S00373,Male,AI,74,62,88,9.51,0,4.9,0
S00374,Female,AI,54,45,43,6.75,3,3.8,1
S00375,Female,AI,100,99,94,9.25,0,6.3,0
S00376,Male,IT,83,63,66,9.05,1,7.3,0
S00377,Male,Computer,79,95,91,6.86,1,3.7,0
S00378,Male,Computer,85,65,95,9.6,0,7.1,0
S00379,Female,IT,51,42,39,5.5,1,3.2,1
S00380,Male,IT,91,65,81,8.23,1,4.8,0
S00381,Female,Computer,79,65,83,6.76,0,4.5,0
S00382,Female,IT,69,76,65,9.61,0,6.7,0
S00383,Male,IT,95,100,56,8.01,0,6.0,0
S00384,Female,Computer,55,41,47,5.62,3,3.2,1
S00385,Female,AI,80,61,58,7.88,1,3.8,0
S00386,Female,Computer,83,97,95,8.6,0,3.5,0
S00387,Male,Computer,70,85,62,7.58,1,5.4,0
S00388,Female,Computer,89,66,78,9.6,0,3.9,0
S00389,Male,IT,81,69,72,8.47,0,6.8,0
S00390,Male,Computer,99,81,92,7.3,0,7.2,0
S00391,Female,AI,95,91,70,8.17,0,5.0,0
S00392,Male,AI,98,91,98,9.94,0,3.6,0
S00393,Female,Computer,75,68,67,6.94,1,3.4,0
S00394,Female,Computer,74,93,71,7.62,0,3.4,0
S00395,Female,AI,82,88,84,9.71,0,6.9,0
S00396,Female,Computer,74,91,92,8.54,0,7.6,0
S00397,Male,IT,87,81,71,7.84,1,5.9,0
S00398,Female,Computer,57,39,60,4.88,2,3.1,1
S00399,Male,AI,82,78,56,7.68,0,4.6,0
S00400,Female,AI,79,63,74,9.91,1,6.9,0
S00401,Female,IT,70,67,83,7.24,1,6.7,0
S00402,Female,Computer,75,59,74,8.98,1,3.7,0
S00403,Male,Computer,51,61,38,5.3,2,1.2,1
S00404,Female,AI,56,61,64,5.81,3,3.8,1
S00405,Male,Computer,93,66,85,8.55,0,4.7,0
S00406,Female,AI,70,73,56,7.85,0,7.3,0
S00407,Male,Computer,78,72,96,7.93,0,7.3,0
S00408,Male,IT,76,93,55,7.28,0,6.6,0
S00409,Female,IT,87,84,71,7.26,0,6.4,0
S00410,Female,AI,61,56,58,5.92,3,2.8,1
S00411,Female,AI,47,45,52,6.08,2,1.8,1
S00412,Female,Computer,69,42,38,6.41,3,2.2,1
S00413,Female,AI,45,55,66,6.79,2,3.7,1
S00414,Female,IT,77,76,100,7.28,1,7.5,0
S00415,Female,AI,75,97,90,7.13,0,5.4,0
S00416,Female,AI,76,98,76,8.79,0,4.8,0
S00417,Female,IT,86,78,71,8.55,1,7.3,0
S00418,Female,Computer,69,85,67,8.25,1,5.6,0
S00419,Female,Computer,74,63,67,7.7,1,3.7,0
S00420,Male,Computer,76,75,95,6.7,1,4.4,0
S00421,Male,AI,96,60,63,8.65,1,5.0,0
S00422,Female,IT,62,41,58,6.7,2,3.3,1
S00423,Male,Computer,80,69,99,9.57,0,3.6,0
S00424,Female,AI,75,59,57,7.54,0,5.3,0
S00425,Female,IT,73,76,86,7.76,0,3.8,0
S00426,Female,Computer,73,68,56,8.56,0,3.6,0
S00427,Male,IT,81,89,94,6.67,0,6.3,0
S00428,Male,Computer,91,83,79,6.93,0,5.4,0
S00429,Male,Computer,65,74,81,8.82,0,6.1,0
S00430,Male,IT,71,87,94,6.91,0,6.9,0
S00431,Female,Computer,81,88,67,7.75,1,4.5,0
S00432,Male,AI,78,99,85,7.66,0,3.1,0
S00433,Male,Computer,96,64,60,9.23,0,6.6,0
S00434,Male,IT,94,73,71,8.12,0,7.1,0
S00435,Male,IT,85,82,62,6.83,0,3.0,0
S00436,Male,AI,86,77,83,9.84,0,7.4,0
S00437,Male,IT,76,62,80,7.9,1,4.4,0
S00438,Female,AI,91,96,65,6.9,0,7.9,0
S00439,Male,Computer,95,91,98,8.03,1,6.9,0
S00440,Male,AI,73,85,86,6.9,1,5.2,0
S00441,Male,IT,65,100,98,8.34,0,7.9,0
S00442,Female,AI,71,82,97,9.04,1,4.7,0
S00443,Female,Computer,100,94,58,6.54,0,5.5,0
S00444,Female,IT,69,86,75,7.34,0,3.3,0
S00445,Male,AI,90,70,60,8.11,1,3.4,0
S00446,Female,IT,96,96,56,6.86,1,3.2,0
S00447,Male,Computer,84,87,90,7.22,1,7.8,0
S00448,Female,Computer,94,76,90,9.19,1,6.6,0
S00449,Female,AI,71,97,69,6.51,0,7.1,0
S00450,Female,AI,71,57,65,8.22,1,3.5,0
S00451,Male,Computer,57,41,64,6.45,1,3.2,1
S00452,Male,IT,65,61,42,6.34,2,2.4,1
S00453,Male,IT,68,36,70,6.67,3,2.4,1
S00454,Male,AI,73,61,79,8.8,0,5.5,0
S00455,Female,IT,80,72,80,9.87,0,5.3,0
S00456,Male,Computer,97,74,99,8.42,0,6.6,0
S00457,Male,Computer,83,98,77,9.72,0,7.9,0
S00458,Male,AI,85,100,62,9.16,1,5.9,0
S00459,Female,AI,99,73,82,9.33,0,3.1,0
S00460,Male,Computer,77,72,65,9.94,0,3.7,0
S00461,Male,AI,78,89,57,7.76,1,3.5,0
S00462,Male,AI,89,70,87,9.25,0,6.5,0
S00463,Male,IT,85,90,58,6.55,0,4.0,0
S00464,Female,Computer,88,92,89,9.08,0,6.9,0
S00465,Male,IT,69,66,66,9.07,0,4.9,0
S00466,Female,IT,73,65,92,9.46,0,4.7,0
S00467,Male,Computer,55,54,38,6.35,3,2.8,1
S00468,Female,IT,100,77,59,9.24,0,5.6,0
S00469,Male,AI,61,40,61,5.89,2,1.3,1
S00470,Male,Computer,86,78,73,7.26,1,8.0,0
S00471,Male,Computer,93,70,96,8.65,0,7.8,0
S00472,Female,IT,72,79,71,8.39,0,3.1,0
S00473,Female,AI,93,86,57,7.54,0,4.6,0
S00474,Male,Computer,69,52,69,4.81,1,1.6,1
S00475,Male,AI,71,68,89,9.4,1,6.2,0
S00476,Male,AI,66,84,100,7.66,0,3.4,0
S00477,Male,IT,79,71,81,7.86,1,5.2,0
S00478,Male,IT,99,55,96,9.02,0,6.8,0
S00479,Male,AI,87,87,61,7.51,0,6.0,0
S00480,Female,IT,66,85,65,8.37,0,6.7,0
S00481,Female,AI,66,63,58,6.71,1,2.7,1
S00482,Male,Computer,63,54,60,5.87,1,1.9,1
S00483,Female,Computer,97,64,65,7.14,0,4.0,0
S00484,Male,AI,68,90,84,8.76,0,4.5,0
S00485,Male,IT,68,53,66,6.7,2,1.4,1
S00486,Male,Computer,69,67,75,8.2,0,6.1,0
S00487,Female,AI,88,75,82,7.09,0,4.2,0
S00488,Male,AI,92,72,78,6.97,0,7.4,0
S00489,Female,IT,84,86,90,6.88,0,7.2,0
S00490,Male,AI,68,63,39,6.25,1,3.5,1
S00491,Male,AI,78,57,90,7.41,1,6.3,0
